file_name	url	inference_transcript	audio_duration
STT_AB00609_0144_816749_to_825435	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00609_0144_816749_to_825435.wav	གཉིས་པའི་དོན་ཀྱང་སེམས་བསྐྱེད་ལ་བརྟེན་ནས། ལས་ཉོན་རྟེན་ཟད་ནུས་པ་ལྟར། ལས་ཉོན་གྱི་ཚུལ་མི་ནུས་པའོ།	8.686
STT_AB00611_0008_40213_to_45332	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00611_0008_40213_to_45332.wav	བརྩོན་འགྲུས་དང་། དྲན་པ་དང་། ཏིང་ངེ་འཛིན་དང་། ཤེས་རབ་ཀྱི་དབང་པོའོ།	5.119
STT_AB00619_0144_804991_to_808558	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00619_0144_804991_to_808558.wav	བློའི་ཡུལ་ཀུན་རྫོབ་པར་འདོད་པའི་དོན་དེ་བཞིན་དུ་བྱའོ།	3.567
STT_AB00604_0095_556646_to_565110	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00604_0095_556646_to_565110.wav	ཐེག་དམན་གྱི་མདོར་ཆོས་ཐམས་ཅད་བདག་མེད་པར་གསུང་པའི་དོན། ཆོས་རྣམས་ངོ་བོ་ཉིད་ཀྱི་སྒྲུབ་པ་མེད་པའི་དོན་དུ་བཤད་པ་ལ།	8.464
STT_AB00629_0188_1092261_to_1099513	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00629_0188_1092261_to_1099513.wav	གླང་པོ་ཆེ་ལ་སོགས་པའི་གཟུགས་མིག་གི་སྐྱེད་སྤྱེད་ཀྱིས་བཟུང་བར་བྱ་བ་ཡོད་པ་མིན་ལ། ཡིད་ཀྱི་ཤེས་པ་ཁོ་ན་ཡོད་དོ།	7.252
STT_AB00634_0144_1070895_to_1073387	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00634_0144_1070895_to_1073387.wav	སྟོད་འདོག་ལ་སོགས་པའི་འབྲས་བུ་འབྱུང་བའི་ཆེད་དུ་	2.492
STT_AB00638_0151_978935_to_982146	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00638_0151_978935_to_982146.wav	རྫས་སུ་ཡོད་པ་མ་ཡིན་པ་དེ་བདག་གཞེས་བྱེད་པ་ལ་བརྟེན་ནས་	3.211
STT_AB00625_0097_641459_to_644906	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00625_0097_641459_to_644906.wav	རྩ་བའི་ཚིག་དོན་བཤད་པ་དང་། དེ་ལས་འཁྲུལ་པའི་དོན་བཤད་པའོ།	3.447
STT_AB00635_0049_296817_to_299701	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00635_0049_296817_to_299701.wav	རག་རིགས་ཅན་ལ་རྒལ་ཤིང་བཏགས་པར་བྱ་བ་གཞོག་གྱི།	2.884
STT_AB00624_0025_191049_to_193131	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00624_0025_191049_to_193131.wav	དེ་ལྟར་མ་མཁན་ཡང་མེད་པར་འགྱུར་ཞིང་།	2.082
STT_AB00610_0044_249598_to_252158	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00610_0044_249598_to_252158.wav	སོ་སོ་སྐྱེ་བོ་དང་ནི་རྒྱལ་སྲས་ཀྱི།	2.56
STT_AB00633_0157_1002619_to_1012414	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00633_0157_1002619_to_1012414.wav	འཇིག་རྟེན་པ་ཡི་དེ་ཉིད་དེ་རྣམ་བཞག་ལ་གནས་པ་ལ། ཕྱི་རོལ་གྱི་གཟུགས་ཀྱི་ཕུང་པོ་ལ་སོགས་པ་རྣམས་འཇིག་རྟེན་ལ་གྲགས་ཏེ་བུམ་པོ་ལྔ་ཆར་ཡོད་ལ།	9.795
STT_AB00635_0128_830042_to_834428	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00635_0128_830042_to_834428.wav	ཇི་སྐད་དུ་བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་ཆོས་ཀྱི་བདག་ནི་འདི་ཡིན་ཏེ།	4.386
STT_AB00608_0152_802790_to_807363	https://d38pmlk0v88drf.cloudfront.net/stt_pecha_tools/STT_AB00608_0152_802790_to_807363.wav	བདག་དང་བདག་གི་བའི་ཀུན་བརྟག་གི་འདུ་ཤེས་དང་བྲ་བ་དེཡིས་ཀྱང་།	4.573
